_CUSTOM_FIELDS
- _zl_process_id=75076 _zl_received_time=1718262080931 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:31:20:931" service=ZohoLogs _zl_host=127.0.0.1 "url=10.15.205.165 | GET | /index.html | null" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718262083379 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:31:23:379" service=ZohoLogs _zl_host=127.0.0.1 "url=10.15.205.165 | GET | /login | null" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718262092902 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:31:32:902" service=ZohoLogs _zl_host=127.0.0.1 "url=10.15.205.165 | POST | /app | /login" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718262092938 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:31:32:938" service=ZohoLogs _zl_host=127.0.0.1 "url=10.15.205.165 | GET | /app | /admin/home" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718262092973 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:31:32:973" service=ZohoLogs _zl_host=127.0.0.1 "url=10.15.205.165 | GET | /app | /admin/employees" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718262099650 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:31:39:650" service=ZohoLogs _zl_host=127.0.0.1 "url=10.15.205.165 | GET | /app | /admin/branches" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718262102115 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:31:42:115" service=ZohoLogs _zl_host=127.0.0.1 "url=10.15.205.165 | GET | /app | /admin/branch_accounts" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718262113065 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:31:53:065" service=ZohoLogs _zl_host=127.0.0.1 "url=10.15.205.165 | GET | /app | /admin/api_service" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718262117363 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:31:57:363" service=ZohoLogs _zl_host=127.0.0.1 "url=10.15.205.165 | GET | /app | /admin/search" account=sharan-pt-7373
- _zl_process_id=75076 _zl_received_time=1718262124838 logtype=requestURL orgname=CSKBankingApplication "_zl_timestamp=13-06-2024 12:32:04:838" service=ZohoLogs _zl_host=127.0.0.1 "url=10.15.205.165 | GET | /app | /admin/change_password" account=sharan-pt-7373
